Code,Tiempo,Escalas(m),Datos1(°C),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Temperature,08:14:37,1549,9,11,4,---,---,
Starboard Temperature,08:15:14,1550,0,11,4,---,---,
Starboard Temperature,08:15:51,1550,0,11,4,---,---,
Starboard Temperature,08:16:28,1550,2,11,4,---,---,
Starboard Temperature,08:17:05,1550,0,11,4,---,---,
Starboard Temperature,08:17:43,1550,0,11,4,---,---,
Starboard Temperature,08:18:20,1550,4,11,4,---,---,
Starboard Temperature,08:18:57,1550,1,11,5,---,---,
Starboard Temperature,08:19:34,1550,1,11,4,---,---,
Starboard Temperature,08:20:11,1550,0,11,4,---,---,
Starboard Temperature,08:20:48,1549,7,11,5,---,---,
Starboard Temperature,08:21:25,1550,2,11,5,---,---,
Starboard Temperature,08:22:02,1550,2,11,4,---,---,
Starboard Temperature,08:22:40,1550,0,11,5,---,---,
Starboard Temperature,08:23:17,1550,1,11,5,---,---,
Starboard Temperature,08:23:54,1550,1,11,4,---,---,
Starboard Temperature,08:24:31,1550,2,11,4,---,---,
Starboard Temperature,08:25:08,1550,3,11,4,---,---,
Starboard Temperature,08:25:45,1549,8,11,5,---,---,
Starboard Temperature,08:26:23,1550,2,11,4,---,---,
Starboard Temperature,08:27:00,1550,2,11,4,---,---,
Starboard Temperature,08:27:37,1550,1,11,4,---,---,
Starboard Temperature,08:28:14,1550,4,11,4,---,---,
Starboard Temperature,08:28:51,1550,1,11,4,---,---,
Starboard Temperature,08:29:28,1550,1,11,4,---,---,
Starboard Temperature,08:30:05,1550,1,11,4,---,---,
Starboard Temperature,08:30:43,1550,1,11,4,---,---,
Starboard Temperature,08:31:20,1550,9,11,4,---,---,
Starboard Temperature,08:31:57,1550,5,11,4,---,---,
Starboard Temperature,08:32:33,1550,4,11,4,---,---,
Starboard Temperature,08:33:10,1550,1,11,4,---,---,
Starboard Temperature,08:33:47,1550,2,11,4,---,---,
Starboard Temperature,08:34:24,1550,4,11,4,---,---,
Starboard Temperature,08:35:01,1550,2,11,4,---,---,
Starboard Temperature,08:35:38,1550,7,11,4,---,---,
Starboard Temperature,08:36:15,1550,8,11,4,---,---,
Starboard Temperature,08:36:53,1550,0,11,4,---,---,
Starboard Temperature,08:37:30,1550,2,11,4,---,---,
Starboard Temperature,08:38:07,1550,6,11,5,---,---,
Starboard Temperature,08:38:44,1550,0,11,4,---,---,
Starboard Temperature,08:39:21,1550,0,11,5,---,---,
Starboard Temperature,08:39:58,1550,4,11,4,---,---,
Starboard Temperature,08:40:35,1550,7,11,4,---,---,
Starboard Temperature,08:41:13,1550,4,11,4,---,---,
Starboard Temperature,08:41:50,1550,3,11,4,---,---,
Starboard Temperature,08:42:27,1550,5,11,4,---,---,
Starboard Temperature,08:43:04,1550,6,11,4,---,---,
Starboard Temperature,08:43:41,1550,4,11,4,---,---,
Starboard Temperature,08:44:18,1550,7,11,4,---,---,
Starboard Temperature,08:44:56,1550,3,11,4,---,---,
Starboard Temperature,08:45:33,1550,5,11,4,---,---,
Starboard Temperature,08:46:10,1550,4,11,4,---,---,
Starboard Temperature,08:46:47,1550,4,11,4,---,---,
Starboard Temperature,08:47:24,1550,4,11,4,---,---,
Starboard Temperature,08:48:01,1550,1,11,4,---,---,
Starboard Temperature,08:48:39,1550,4,11,4,---,---,
Starboard Temperature,08:49:16,1550,2,11,4,---,---,
Starboard Temperature,08:49:53,1550,7,11,4,---,---,
Starboard Temperature,08:50:30,1550,4,11,4,---,---,
Starboard Temperature,08:51:07,1550,4,11,4,---,---,
Starboard Temperature,08:51:44,1550,8,11,4,---,---,
Starboard Temperature,08:52:21,1550,0,11,4,---,---,
Starboard Temperature,08:52:58,1552,2,11,2,---,---,
Starboard Temperature,08:53:35,1550,2,11,4,---,---,
Starboard Temperature,08:54:13,1550,0,11,4,---,---,
Starboard Temperature,08:54:50,1549,8,11,4,---,---,
Starboard Temperature,08:55:27,1549,6,11,4,---,---,
Starboard Temperature,08:56:04,1549,8,11,4,---,---,
Starboard Temperature,08:56:41,1549,7,11,4,---,---,
Starboard Temperature,08:57:18,1550,0,11,3,---,---,
Starboard Temperature,08:57:55,1550,0,11,4,---,---,
Starboard Temperature,08:58:32,1550,1,11,4,---,---,
Starboard Temperature,08:59:09,1549,9,11,4,---,---,
Starboard Temperature,08:59:46,1549,8,11,3,---,---,
Starboard Temperature,09:00:23,1549,5,11,3,---,---,
Starboard Temperature,09:01:01,1549,9,11,3,---,---,
Starboard Temperature,09:01:38,1549,6,11,3,---,---,
Starboard Temperature,09:02:15,1549,8,11,3,---,---,
Starboard Temperature,09:02:52,1549,5,11,3,---,---,
Starboard Temperature,09:03:29,1549,4,11,4,---,---,
Starboard Temperature,09:04:06,1549,6,11,3,---,---,
Starboard Temperature,09:04:43,1549,6,11,3,---,---,
Starboard Temperature,09:05:21,1549,5,11,4,---,---,
Starboard Temperature,09:05:58,1550,1,11,4,---,---,
Starboard Temperature,09:06:35,1549,4,11,4,---,---,
Starboard Temperature,09:07:12,1549,8,11,4,---,---,
Starboard Temperature,09:07:49,1549,4,11,4,---,---,
