Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
D20C,08:44:42,898,7,Off,---,---,---,---,
D20C,08:45:06,899,7,Off,---,---,---,---,
D20C,08:45:29,899,4,Off,---,---,---,---,
D20C,08:45:57,---,---,---,---,---,---,
D20C,08:46:19,900,8,Off,---,---,---,---,
D20C,08:46:43,899,2,Off,---,---,---,---,
D20C,08:47:06,903,0,Off,---,---,---,---,
D20C,08:47:30,909,1,Off,---,---,---,---,
D20C,08:47:54,908,3,Off,---,---,---,---,
D20C,08:48:17,909,8,Off,---,---,---,---,
D20C,08:48:42,908,3,Off,---,---,---,---,
D20C,08:49:05,907,6,Off,---,---,---,---,
D20C,08:49:30,907,7,Off,---,---,---,---,
D20C,08:49:52,907,6,Off,---,---,---,---,
D20C,08:50:17,909,0,Off,---,---,---,---,
D20C,08:50:42,908,5,Off,---,---,---,---,
D20C,08:51:07,908,7,Off,---,---,---,---,
D20C,08:51:34,---,---,---,---,---,---,
D20C,08:51:56,908,9,Off,---,---,---,---,
D20C,08:52:19,908,0,Off,---,---,---,---,
D20C,08:52:42,909,2,Off,---,---,---,---,
D20C,08:53:09,---,---,---,---,---,---,
D20C,08:53:31,908,1,Off,---,---,---,---,
D20C,08:53:55,908,9,Off,---,---,---,---,
D20C,08:54:18,908,9,Off,---,---,---,---,
D20C,08:54:42,907,9,Off,---,---,---,---,
D20C,08:55:07,908,2,Off,---,---,---,---,
D20C,08:55:31,909,5,Off,---,---,---,---,
D20C,08:55:56,909,0,Off,---,---,---,---,
D20C,08:56:20,909,6,Off,---,---,---,---,
D20C,08:56:45,908,9,Off,---,---,---,---,
D20C,08:57:12,---,---,---,---,---,---,
D20C,08:57:37,---,---,---,---,---,---,
D20C,08:57:57,909,2,Off,---,---,---,---,
D20C,08:58:21,910,1,---,---,---,---,---,
D20C,08:58:43,909,3,Off,---,---,---,---,
D20C,08:59:06,909,7,Off,---,---,---,---,
