[NOTUS TEXTFILE V3.3]
File Created: 26-nov-2019 16:17:27
Tow Date: 15-sep-2013 10:39:47


Transponder: C56S
Placement: Estribor

Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
C56S,13:40:16,674,0,25,6,---,---,---,---,
C56S,13:40:41,674,0,26,0,---,---,---,---,
C56S,13:41:06,673,6,26,1,---,---,---,---,
C56S,13:41:31,673,7,26,5,---,---,---,---,
C56S,13:41:56,674,0,26,4,---,---,---,---,
C56S,13:42:21,674,1,26,4,---,---,---,---,
C56S,13:42:47,674,1,25,3,---,---,---,---,
C56S,13:43:12,673,5,25,4,---,---,---,---,
C56S,13:43:37,673,9,25,4,---,---,---,---,
C56S,13:44:02,673,6,25,1,---,---,---,---,
C56S,13:44:27,674,0,25,4,---,---,---,---,
C56S,13:44:52,673,9,24,3,---,---,---,---,
C56S,13:45:19,674,2,24,5,---,---,---,---,
C56S,13:45:43,674,4,24,2,---,---,---,---,
C56S,13:46:08,674,3,24,0,---,---,---,---,
C56S,13:46:33,674,1,24,7,---,---,---,---,
C56S,13:47:00,674,4,23,8,---,---,---,---,
C56S,13:47:25,674,4,24,2,---,---,---,---,
C56S,13:47:51,674,5,24,5,---,---,---,---,
C56S,13:48:18,674,3,24,5,---,---,---,---,
C56S,13:48:43,673,5,24,2,---,---,---,---,
C56S,13:49:08,674,5,24,8,---,---,---,---,
C56S,13:49:32,674,4,23,3,---,---,---,---,
C56S,13:49:59,674,3,24,2,---,---,---,---,
C56S,13:50:24,674,4,24,2,---,---,---,---,
C56S,13:50:49,674,8,24,1,---,---,---,---,
C56S,13:51:14,674,2,23,0,---,---,---,---,
C56S,13:51:39,673,9,23,6,---,---,---,---,
C56S,13:52:06,675,1,22,2,---,---,---,---,
C56S,13:52:31,674,4,22,3,---,---,---,---,
C56S,13:52:56,674,7,22,2,---,---,---,---,
C56S,13:53:20,674,8,23,9,---,---,---,---,
C56S,13:53:44,674,5,24,0,---,---,---,---,
C56S,13:54:10,674,5,22,6,---,---,---,---,
C56S,13:54:35,674,9,23,0,---,---,---,---,
C56S,13:55:01,674,8,22,9,---,---,---,---,
C56S,13:55:27,674,9,22,5,---,---,---,---,
C56S,13:55:54,674,4,23,5,---,---,---,---,
C56S,13:56:19,674,8,23,7,---,---,---,---,
C56S,13:56:44,674,5,24,4,---,---,---,---,
C56S,13:57:09,674,5,24,4,---,---,---,---,
C56S,13:57:33,675,2,24,5,---,---,---,---,
C56S,13:58:00,674,8,---,---,---,---,---,
C56S,13:58:26,674,6,23,6,---,---,---,---,
