[NOTUS TEXTFILE V3.3]
File Created: 13-nov-2019 19:22:49
Tow Date: 14-sep-2011 2:28:20


Transponder: E48D
Placement: Estribor
Depth Calibration: 1500

Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
E48D,02:28:28,---,---,---,---,---,---,
E48D,05:09:05,1106,6,305,4,---,---,---,---,
E48D,05:09:29,1106,3,305,8,---,---,---,---,
E48D,05:09:53,1106,4,306,0,---,---,---,---,
E48D,05:10:16,1106,4,305,5,---,---,---,---,
E48D,05:10:40,1106,8,303,9,---,---,---,---,
E48D,05:11:04,1106,3,305,5,---,---,---,---,
E48D,05:11:27,1106,6,305,5,---,---,---,---,
E48D,05:11:51,1106,5,305,5,---,---,---,---,
E48D,05:12:14,1106,4,305,5,---,---,---,---,
E48D,05:12:38,1106,4,306,7,---,---,---,---,
E48D,05:13:02,1106,2,306,7,---,---,---,---,
E48D,05:13:25,1106,8,307,0,---,---,---,---,
E48D,05:13:49,1106,3,307,1,---,---,---,---,
E48D,05:14:13,1106,1,308,3,---,---,---,---,
E48D,05:14:36,1106,3,306,3,---,---,---,---,
E48D,05:15:00,1106,3,307,0,---,---,---,---,
E48D,05:15:24,1106,2,307,9,---,---,---,---,
E48D,05:15:47,1106,5,308,7,---,---,---,---,
E48D,05:16:11,1106,5,309,2,---,---,---,---,
E48D,05:16:35,1106,4,308,6,---,---,---,---,
E48D,05:16:58,1106,7,307,8,---,---,---,---,
E48D,05:17:22,1106,7,306,8,---,---,---,---,
E48D,05:17:46,1106,4,306,8,---,---,---,---,
E48D,05:18:09,1106,4,306,8,---,---,---,---,
E48D,05:18:33,1107,0,305,5,---,---,---,---,
E48D,05:18:56,1108,5,303,9,---,---,---,---,
E48D,05:19:20,1106,4,306,2,---,---,---,---,
E48D,05:19:44,1107,0,306,6,---,---,---,---,
E48D,05:20:07,1106,3,307,4,---,---,---,---,
E48D,05:20:31,1106,3,307,0,---,---,---,---,
E48D,05:20:55,1106,3,308,2,---,---,---,---,
E48D,05:21:18,1106,7,309,1,---,---,---,---,
E48D,05:21:42,1106,6,307,6,---,---,---,---,
E48D,05:22:06,1106,7,307,8,---,---,---,---,
E48D,05:22:29,1106,5,308,9,---,---,---,---,
E48D,05:22:53,1106,2,309,4,---,---,---,---,
E48D,05:23:17,---,---,---,---,---,---,
E48D,05:23:46,---,---,---,---,---,---,
E48D,05:24:11,935,0,---,---,---,---,---,
E48D,05:24:36,---,---,---,---,---,---,
E48D,05:25:01,746,2,---,---,---,---,---,
E48D,05:25:25,---,---,---,---,---,---,
E48D,05:25:47,651,4,311,3,---,---,---,---,
E48D,05:26:12,---,---,---,---,---,---,
E48D,05:26:34,684,9,311,6,---,---,---,---,
E48D,05:26:58,---,---,---,---,---,---,
E48D,05:27:20,762,2,310,9,---,---,---,---,
E48D,05:27:42,794,7,311,0,---,---,---,---,
E48D,05:28:11,---,---,---,---,---,---,
E48D,05:28:35,848,1,300,2,---,---,---,---,
E48D,05:29:00,868,2,291,9,---,---,---,---,
