Code,Tiempo,Escalas(m),Datos1(°C),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Temperature,23:47:47,1693,9,10,3,---,---,
Starboard Temperature,23:48:25,1694,4,10,3,---,---,
Starboard Temperature,23:49:02,1694,4,---,---,---,---,
Starboard Temperature,23:49:39,1694,7,10,3,---,---,
Starboard Temperature,23:50:17,1695,5,10,3,---,---,
Starboard Temperature,23:50:54,1695,4,10,3,---,---,
Starboard Temperature,23:51:31,1694,8,10,3,---,---,
Starboard Temperature,23:52:08,1694,9,10,3,---,---,
Starboard Temperature,23:52:45,1695,1,10,4,---,---,
Starboard Temperature,23:53:23,1694,9,10,3,---,---,
Starboard Temperature,23:54:01,1695,1,---,---,---,---,
Starboard Temperature,23:54:37,1695,7,10,4,---,---,
Starboard Temperature,23:55:15,1695,3,10,3,---,---,
Starboard Temperature,23:55:52,1695,5,10,2,---,---,
Starboard Temperature,23:56:29,1695,1,10,2,---,---,
Starboard Temperature,23:57:06,1694,9,10,3,---,---,
Starboard Temperature,23:57:43,1695,3,10,3,---,---,
Starboard Temperature,23:58:23,---,---,---,---,---,---,
Starboard Temperature,23:58:59,1695,2,10,2,---,---,
Starboard Temperature,23:59:38,1695,5,10,2,---,---,
Starboard Temperature,00:00:15,1695,1,10,3,---,---,
Starboard Temperature,00:00:52,1694,9,10,3,---,---,
Starboard Temperature,00:01:30,1694,6,10,3,---,---,
Starboard Temperature,00:02:07,1695,7,10,2,---,---,
Starboard Temperature,00:02:44,1695,1,10,4,---,---,
Starboard Temperature,00:03:21,1694,9,10,3,---,---,
Starboard Temperature,00:03:58,1695,7,10,3,---,---,
Starboard Temperature,00:04:35,1694,7,10,2,---,---,
Starboard Temperature,00:05:12,1694,8,10,3,---,---,
Starboard Temperature,00:05:49,1694,9,10,3,---,---,
Starboard Temperature,00:06:26,1694,5,10,3,---,---,
Starboard Temperature,00:07:04,1694,7,10,5,---,---,
Starboard Temperature,00:07:41,1694,9,10,2,---,---,
Starboard Temperature,00:08:19,1694,9,10,3,---,---,
Starboard Temperature,00:08:57,1695,1,10,2,---,---,
Starboard Temperature,00:09:34,1694,7,10,3,---,---,
Starboard Temperature,00:10:11,1695,1,10,2,---,---,
Starboard Temperature,00:10:48,1694,8,10,3,---,---,
Starboard Temperature,00:11:26,1695,4,10,5,---,---,
Starboard Temperature,00:12:03,1696,1,10,2,---,---,
Starboard Temperature,00:12:40,1695,0,10,2,---,---,
Starboard Temperature,00:13:17,1695,1,10,3,---,---,
Starboard Temperature,00:13:55,1695,5,10,2,---,---,
Starboard Temperature,00:14:32,1695,2,10,3,---,---,
Starboard Temperature,00:15:09,1695,2,10,2,---,---,
Starboard Temperature,00:15:47,1695,4,10,2,---,---,
Starboard Temperature,00:16:24,1695,4,10,2,---,---,
Starboard Temperature,00:17:01,1695,2,10,3,---,---,
Starboard Temperature,00:17:38,1695,7,10,2,---,---,
Starboard Temperature,00:18:15,1695,7,10,3,---,---,
Starboard Temperature,00:18:53,1695,6,10,2,---,---,
Starboard Temperature,00:19:30,1695,6,10,2,---,---,
Starboard Temperature,00:20:10,---,---,---,---,---,---,
Starboard Temperature,00:20:46,1695,7,10,2,---,---,
Starboard Temperature,00:21:24,1695,7,10,2,---,---,
Starboard Temperature,00:22:01,1696,4,10,3,---,---,
Starboard Temperature,00:22:39,1695,8,10,3,---,---,
Starboard Temperature,00:23:16,1695,5,10,2,---,---,
Starboard Temperature,00:23:53,1695,9,10,2,---,---,
Starboard Temperature,00:24:31,1695,8,10,2,---,---,
Starboard Temperature,00:25:08,1695,5,10,2,---,---,
Starboard Temperature,00:25:45,1695,7,10,3,---,---,
Starboard Temperature,00:26:22,1695,6,10,2,---,---,
Starboard Temperature,00:27:00,1695,2,10,3,---,---,
Starboard Temperature,00:27:37,1695,7,10,3,---,---,
Starboard Temperature,00:28:15,1695,3,10,2,---,---,
Starboard Temperature,00:28:52,1695,5,10,3,---,---,
Starboard Temperature,00:29:29,1695,7,10,3,---,---,
Starboard Temperature,00:30:07,1696,0,10,4,---,---,
Starboard Temperature,00:30:44,1695,9,10,2,---,---,
Starboard Temperature,00:31:21,1695,9,10,3,---,---,
Starboard Temperature,00:31:58,1696,1,10,2,---,---,
Starboard Temperature,00:32:36,1696,2,10,2,---,---,
Starboard Temperature,00:33:13,1695,6,10,3,---,---,
Starboard Temperature,00:37:13,1696,0,10,3,---,---,
Starboard Temperature,00:42:51,1695,9,10,3,---,---,
Starboard Temperature,00:48:28,1696,0,10,2,---,---,
Starboard Temperature,00:54:06,1695,4,10,2,---,---,
Starboard Temperature,00:59:44,1695,5,10,2,---,---,
Starboard Temperature,01:05:21,1695,2,10,2,---,---,
Starboard Temperature,01:10:31,1695,2,10,3,---,---,
Starboard Temperature,01:16:09,1695,1,10,2,---,---,
Starboard Temperature,01:21:49,---,---,---,---,---,---,
Starboard Temperature,01:25:33,1695,4,10,2,---,---,
Starboard Temperature,01:30:16,1694,7,---,---,---,---,
Starboard Temperature,01:33:36,---,---,---,---,---,---,
Starboard Temperature,01:36:53,1693,2,---,---,---,---,
Starboard Temperature,01:40:39,1693,2,10,2,---,---,
Starboard Temperature,01:44:28,---,---,---,---,---,---,
Starboard Temperature,01:49:08,1694,7,10,5,---,---,
Starboard Temperature,01:53:24,---,---,---,---,---,---,
Starboard Temperature,01:57:38,---,---,---,---,---,---,
Starboard Temperature,02:01:50,1696,3,10,2,---,---,
Starboard Temperature,02:07:01,1696,5,---,---,---,---,
Starboard Temperature,02:12:10,1697,4,10,1,---,---,
Starboard Temperature,02:17:49,1696,7,---,---,---,---,
Starboard Temperature,02:22:58,1696,4,10,1,---,---,
Starboard Temperature,02:28:35,1695,6,10,1,---,---,
Starboard Temperature,02:34:15,---,---,---,---,---,---,
Starboard Temperature,02:39:23,1695,5,10,2,---,---,
Starboard Temperature,02:45:01,1695,2,10,2,---,---,
Starboard Temperature,02:50:38,1694,9,10,2,---,---,
Starboard Temperature,02:56:16,1694,8,10,2,---,---,
Starboard Temperature,03:01:54,1701,5,9,8,---,---,
Starboard Temperature,03:07:31,1695,5,10,2,---,---,
Starboard Temperature,03:12:41,1695,4,10,3,---,---,
Starboard Temperature,03:18:19,1694,8,10,3,---,---,
Starboard Temperature,03:23:57,1694,4,10,3,---,---,
Starboard Temperature,03:29:34,1693,9,10,3,---,---,
Starboard Temperature,03:35:12,1694,8,10,3,---,---,
Starboard Temperature,03:40:51,1695,0,---,---,---,---,
Starboard Temperature,03:46:00,1694,9,10,3,---,---,
Starboard Temperature,03:51:38,1694,8,10,4,---,---,
Starboard Temperature,03:57:15,1695,4,10,3,---,---,
Starboard Temperature,04:02:53,1523,8,---,---,---,---,
Starboard Temperature,04:06:13,---,---,---,---,---,---,
Starboard Temperature,05:29:07,1683,9,16,1,---,---,
Starboard Temperature,05:29:47,---,40,0,---,---,---,
Starboard Temperature,05:30:30,---,---,---,---,---,---,
Starboard Temperature,05:31:08,1692,4,---,---,---,---,
Starboard Temperature,05:31:45,1693,1,17,0,---,---,
Starboard Temperature,05:32:24,1693,8,---,---,---,---,
Starboard Temperature,05:33:00,1693,8,14,4,---,---,
Starboard Temperature,05:33:40,1693,2,14,3,---,---,
Starboard Temperature,05:34:18,1692,2,---,---,---,---,
Starboard Temperature,05:34:59,---,---,---,---,---,---,
Starboard Temperature,05:35:42,---,---,---,---,---,---,
Starboard Temperature,05:36:26,---,---,---,---,---,---,
Starboard Temperature,05:37:10,---,---,---,---,---,---,
Starboard Temperature,05:37:54,---,---,---,---,---,---,
Starboard Temperature,05:38:38,---,---,---,---,---,---,
Starboard Temperature,05:39:22,---,---,---,---,---,---,
Starboard Temperature,05:40:06,---,---,---,---,---,---,
Starboard Temperature,05:40:51,---,---,---,---,---,---,
Starboard Temperature,05:41:35,---,---,---,---,---,---,
Starboard Temperature,05:42:19,---,---,---,---,---,---,
Starboard Temperature,05:42:59,1680,1,13,0,---,---,
Starboard Temperature,05:43:44,---,---,---,---,---,---,
Starboard Temperature,05:44:28,---,---,---,---,---,---,
Starboard Temperature,05:45:09,1686,1,12,6,---,---,
Starboard Temperature,05:45:52,---,---,---,---,---,---,
Starboard Temperature,05:46:36,---,---,---,---,---,---,
