[NOTUS TEXTFILE V3.3]
File Created: 22-oct-2019 17:27:34
Tow Date: 25-ago-2013 5:04:58


Transponder: C56S
Placement: Estribor

Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
C56S,05:05:07,---,---,---,---,---,---,
C56S,05:05:31,---,---,---,---,---,---,
C56S,05:05:55,587,9,---,---,---,---,---,
C56S,07:02:34,589,8,22,5,---,---,---,---,
C56S,07:02:57,589,9,21,8,---,---,---,---,
C56S,07:03:19,590,1,22,0,---,---,---,---,
C56S,07:03:43,589,9,---,---,---,---,---,
C56S,07:04:05,589,9,21,2,---,---,---,---,
C56S,07:04:29,595,5,18,9,---,---,---,---,
C56S,07:04:52,589,7,22,0,---,---,---,---,
C56S,07:05:15,589,7,---,---,---,---,---,
C56S,07:05:36,590,1,21,0,---,---,---,---,
C56S,07:05:59,589,6,21,4,---,---,---,---,
C56S,07:06:24,589,1,21,6,---,---,---,---,
C56S,07:06:49,589,7,23,2,---,---,---,---,
C56S,07:07:13,589,9,22,7,---,---,---,---,
C56S,07:07:38,590,4,22,4,---,---,---,---,
C56S,07:08:04,590,1,22,5,---,---,---,---,
C56S,07:08:29,590,6,---,---,---,---,---,
C56S,07:08:50,589,5,22,2,---,---,---,---,
C56S,07:09:14,590,0,23,7,---,---,---,---,
C56S,07:09:36,590,1,21,6,---,---,---,---,
C56S,07:10:00,590,2,21,6,---,---,---,---,
C56S,07:10:26,---,---,---,---,---,---,
C56S,07:10:48,589,9,22,2,---,---,---,---,
C56S,07:11:10,590,2,22,0,---,---,---,---,
C56S,07:11:32,590,0,21,8,---,---,---,---,
C56S,07:11:57,589,5,21,8,---,---,---,---,
C56S,07:12:22,589,5,21,7,---,---,---,---,
C56S,07:12:46,589,7,22,1,---,---,---,---,
C56S,07:13:10,590,1,21,8,---,---,---,---,
C56S,07:13:32,589,9,23,7,---,---,---,---,
C56S,07:13:56,589,8,23,5,---,---,---,---,
C56S,07:14:19,590,4,21,6,---,---,---,---,
C56S,07:14:42,590,7,21,0,---,---,---,---,
C56S,07:15:07,589,6,21,2,---,---,---,---,
C56S,07:15:30,589,9,21,5,---,---,---,---,
C56S,07:15:53,589,7,20,9,---,---,---,---,
C56S,07:16:18,589,4,20,4,---,---,---,---,
C56S,07:16:43,590,3,21,4,---,---,---,---,
C56S,07:17:08,589,8,20,4,---,---,---,---,
C56S,07:17:33,591,1,---,---,---,---,---,
C56S,07:17:55,590,0,---,---,---,---,---,
C56S,07:18:17,589,8,20,8,---,---,---,---,
C56S,07:18:40,590,3,20,7,---,---,---,---,
C56S,07:19:03,578,6,22,6,---,---,---,---,
C56S,07:19:30,---,---,---,---,---,---,
C56S,07:20:00,---,---,---,---,---,---,
C56S,07:20:29,---,---,---,---,---,---,
C56S,07:20:59,---,---,---,---,---,---,
C56S,07:21:21,---,---,---,---,---,---,
C56S,07:21:46,353,7,21,8,---,---,---,---,
C56S,07:22:10,326,8,21,1,---,---,---,---,
C56S,07:22:34,297,6,21,6,---,---,---,---,
C56S,07:22:57,267,0,22,2,---,---,---,---,
C56S,07:23:25,---,---,---,---,---,---,
C56S,07:23:46,196,4,14,9,---,---,---,---,
C56S,07:24:13,158,5,12,4,---,---,---,---,
C56S,07:24:42,---,---,---,---,---,---,
C56S,07:25:04,92,9,13,2,---,---,---,---,
C56S,07:25:28,64,2,11,7,---,---,---,---,
C56S,07:25:51,38,0,7,8,---,---,---,---,
C56S,07:26:15,21,1,5,1,---,---,---,---,
C56S,07:26:39,10,3,---,---,---,---,---,
C56S,07:27:08,---,---,---,---,---,---,
C56S,07:27:37,---,---,---,---,---,---,
C56S,07:28:05,---,---,---,---,---,---,
C56S,07:28:32,---,---,---,---,---,---,
C56S,07:29:00,---,---,---,---,---,---,
C56S,07:29:28,---,---,---,---,---,---,
C56S,07:29:56,---,---,---,---,---,---,
C56S,07:30:25,---,---,---,---,---,---,
C56S,07:30:55,---,---,---,---,---,---,
C56S,07:31:23,---,---,---,---,---,---,
C56S,07:31:51,---,---,---,---,---,---,
C56S,07:32:18,---,---,---,---,---,---,
C56S,07:32:46,---,---,---,---,---,---,
C56S,07:33:14,---,---,---,---,---,---,
C56S,07:33:44,---,---,---,---,---,---,
C56S,07:34:12,---,---,---,---,---,---,
C56S,07:34:40,---,---,---,---,---,---,
C56S,07:35:08,---,---,---,---,---,---,
C56S,07:35:36,---,---,---,---,---,---,
C56S,07:36:04,---,---,---,---,---,---,
C56S,07:36:33,---,---,---,---,---,---,
C56S,07:37:02,---,---,---,---,---,---,
C56S,07:37:32,---,---,---,---,---,---,
C56S,07:38:01,---,---,---,---,---,---,
C56S,07:38:31,---,---,---,---,---,---,
C56S,07:39:00,---,---,---,---,---,---,
C56S,07:39:29,---,---,---,---,---,---,
C56S,07:39:59,---,---,---,---,---,---,
C56S,07:40:28,---,---,---,---,---,---,
C56S,07:40:57,---,---,---,---,---,---,
C56S,07:41:27,---,---,---,---,---,---,
C56S,07:41:56,---,---,---,---,---,---,
C56S,07:42:26,---,---,---,---,---,---,
C56S,07:42:54,---,---,---,---,---,---,
C56S,07:43:21,---,---,---,---,---,---,
C56S,07:43:49,---,---,---,---,---,---,
C56S,07:44:13,19,3,5,3,---,---,---,---,
C56S,07:44:38,21,3,5,1,---,---,---,---,
C56S,07:45:03,---,5,8,---,---,---,---,
C56S,07:45:28,128,0,18,3,---,---,---,---,
C56S,07:45:51,---,---,---,---,---,---,
C56S,07:46:15,255,9,6,4,---,---,---,---,
C56S,07:46:40,---,---,---,---,---,---,
C56S,07:47:05,386,4,---,---,---,---,---,
C56S,07:47:27,---,10,9,---,---,---,---,
C56S,07:47:55,499,9,---,---,---,---,---,
C56S,07:48:19,---,9,9,---,---,---,---,
C56S,07:48:44,589,3,8,6,---,---,---,---,
C56S,07:49:10,590,9,---,---,---,---,---,
C56S,07:49:33,590,1,7,8,---,---,---,---,
C56S,07:49:58,589,6,16,3,---,---,---,---,
C56S,07:50:23,589,2,19,6,---,---,---,---,
C56S,07:50:47,589,6,22,1,---,---,---,---,
C56S,07:51:10,590,4,22,7,---,---,---,---,
C56S,07:51:33,590,0,22,9,---,---,---,---,
C56S,07:51:58,590,1,25,7,---,---,---,---,
C56S,07:52:21,590,4,26,3,---,---,---,---,
C56S,07:52:45,590,0,26,7,---,---,---,---,
C56S,07:53:11,590,8,---,---,---,---,---,
C56S,07:53:34,590,3,26,7,---,---,---,---,
C56S,07:53:57,590,1,26,9,---,---,---,---,
C56S,07:54:21,590,2,28,4,---,---,---,---,
C56S,07:54:45,590,1,29,1,---,---,---,---,
C56S,07:55:07,589,9,29,2,---,---,---,---,
C56S,07:55:31,590,1,29,2,---,---,---,---,
C56S,07:55:55,591,0,28,8,---,---,---,---,
C56S,07:56:18,590,1,29,1,---,---,---,---,
C56S,07:56:42,590,0,29,8,---,---,---,---,
C56S,07:57:05,590,1,29,4,---,---,---,---,
C56S,07:57:29,589,7,29,0,---,---,---,---,
C56S,07:57:53,589,2,28,6,---,---,---,---,
C56S,07:58:16,589,4,27,7,---,---,---,---,
C56S,07:58:41,589,7,27,4,---,---,---,---,
C56S,07:59:04,589,3,27,9,---,---,---,---,
C56S,07:59:26,589,3,28,5,---,---,---,---,
C56S,07:59:51,589,3,28,1,---,---,---,---,
C56S,08:00:16,589,9,27,8,---,---,---,---,
C56S,08:00:39,590,1,27,0,---,---,---,---,
C56S,08:01:04,589,8,26,5,---,---,---,---,
C56S,08:01:29,590,1,---,---,---,---,---,
C56S,08:01:53,590,2,26,3,---,---,---,---,
C56S,08:02:18,589,9,26,6,---,---,---,---,
C56S,08:02:41,590,3,26,7,---,---,---,---,
C56S,08:03:05,590,0,25,9,---,---,---,---,
C56S,08:03:29,589,9,25,9,---,---,---,---,
C56S,08:03:52,589,8,25,6,---,---,---,---,
C56S,08:04:16,589,7,24,9,---,---,---,---,
C56S,08:04:40,589,7,25,3,---,---,---,---,
C56S,08:05:05,589,4,25,3,---,---,---,---,
C56S,08:05:28,589,6,24,7,---,---,---,---,
C56S,08:05:52,590,0,---,---,---,---,---,
C56S,08:06:17,590,4,24,7,---,---,---,---,
C56S,08:06:42,590,3,25,7,---,---,---,---,
C56S,08:07:06,590,2,25,8,---,---,---,---,
C56S,08:07:29,590,0,26,6,---,---,---,---,
C56S,08:07:54,590,2,26,3,---,---,---,---,
C56S,08:08:18,591,7,26,1,---,---,---,---,
C56S,08:08:41,590,3,25,9,---,---,---,---,
C56S,08:09:05,591,0,25,7,---,---,---,---,
C56S,08:09:29,590,2,25,5,---,---,---,---,
C56S,08:09:51,590,3,25,5,---,---,---,---,
C56S,08:10:15,590,7,24,2,---,---,---,---,
C56S,08:10:39,591,6,23,6,---,---,---,---,
C56S,08:11:01,590,3,23,9,---,---,---,---,
C56S,08:11:24,591,1,23,8,---,---,---,---,
C56S,08:11:50,590,6,24,5,---,---,---,---,
C56S,08:12:15,590,7,25,6,---,---,---,---,
C56S,08:12:42,---,---,---,---,---,---,
C56S,08:13:06,---,---,---,---,---,---,
C56S,08:13:29,590,7,24,5,---,---,---,---,
C56S,08:13:52,590,9,24,4,---,---,---,---,
C56S,08:14:14,590,7,23,4,---,---,---,---,
C56S,08:14:37,590,9,23,9,---,---,---,---,
C56S,08:14:59,590,2,24,6,---,---,---,---,
C56S,08:15:22,590,6,---,---,---,---,---,
C56S,08:15:44,590,9,25,0,---,---,---,---,
C56S,08:16:09,590,8,---,---,---,---,---,
C56S,08:16:31,590,9,24,5,---,---,---,---,
C56S,08:16:53,591,0,24,3,---,---,---,---,
C56S,08:17:17,590,7,25,0,---,---,---,---,
C56S,08:17:41,590,9,25,2,---,---,---,---,
C56S,08:18:03,591,0,24,9,---,---,---,---,
C56S,08:18:28,591,1,24,4,---,---,---,---,
C56S,08:18:53,591,0,24,1,---,---,---,---,
C56S,08:19:18,592,4,---,---,---,---,---,
C56S,08:19:43,591,0,24,3,---,---,---,---,
C56S,08:20:08,590,6,24,6,---,---,---,---,
C56S,08:20:33,590,3,24,6,---,---,---,---,
C56S,08:20:59,590,1,24,5,---,---,---,---,
C56S,08:21:20,590,3,24,9,---,---,---,---,
C56S,08:21:45,590,3,24,6,---,---,---,---,
C56S,08:22:09,590,4,24,1,---,---,---,---,
C56S,08:22:33,589,9,23,5,---,---,---,---,
C56S,08:22:56,590,2,23,4,---,---,---,---,
C56S,08:23:22,590,1,---,---,---,---,---,
C56S,08:23:43,590,3,23,6,---,---,---,---,
